Date,Sectors,AUC 1,AUC 2,Difference
30-Apr-21,Software & Services,557647,545666,-11981
30-Apr-21,Telecom Services,86894,86822,-72
30-Apr-21,Telecommunications Equipment,97,102,5
30-Apr-21,"Textiles, Apparels & Accessories",44067,43302,-765
30-Apr-21,Transportation,57295,56686,-609
30-Apr-21,Airlines,11748,12078,330
30-Apr-21,Logistics,2205,2302,97
30-Apr-21,Marine Port & Services,28064,26579,-1485
30-Apr-21,Roads & Highways,2189,2353,164
30-Apr-21,Shipping,997,1070,73
30-Apr-21,Surface Transportation,38,40,2
30-Apr-21,Transport Related Services,8497,8821,324
30-Apr-21,Airport Services,3558,3442,-116
30-Apr-21,Utilities3,105683,111444,5761
30-Apr-21,Sovereign,0,0,0
30-Apr-21,Others4,22489,22892,403
30-Apr-21,Grand Total,4036149,4052276,16127
30-Apr-22,Automobile and Auto Components,213549,221576,8027
30-Apr-22,Capital Goods,100304,97186,-3118
30-Apr-22,Chemicals,104546,102913,-1633
30-Apr-22,Construction,60848,57832,-3016
30-Apr-22,Construction Materials,80950,79797,-1153
30-Apr-22,Consumer Durables,180845,182883,2038
30-Apr-22,Consumer Services,102673,110503,7830
30-Apr-22,Diversified,1644,1608,-36
30-Apr-22,Fast Moving Consumer Goods,275481,277854,2373
30-Apr-22,Financial Services,1504245,1423537,-80708
30-Apr-22,Forest Materials,1298,1229,-69
30-Apr-22,Healthcare,229507,226067,-3440
30-Apr-22,Information Technology,647882,591906,-55976
30-Apr-22,"Media, Entertainment & Publication",25197,22075,-3122
30-Apr-22,Metals & Mining,169554,162166,-7388
30-Apr-22,"Oil, Gas & Consumable Fuels",557377,588240,30863
30-Apr-22,Power,233640,237667,4027
30-Apr-22,Realty,60388,57853,-2535
30-Apr-22,Services,75728,74645,-1083
30-Apr-22,Telecommunication,118037,115643,-2394
30-Apr-22,Textiles,21772,21635,-137
30-Apr-22,Utilities,429,413,-16
30-Apr-22,Sovereign,0,0,0
30-Apr-22,Others,23244,11227,-12017
15-Apr-20,Grand Total,4789140,4666454,-122686
15-Apr-20,Automobiles & Auto Components,88463,99970,11507
15-Apr-20,Total Financial Services,709218,702001,-7217
15-Apr-20,Banks,411179,408631,-2548
15-Apr-20,Other Financial Services1,298039,293370,-4669
15-Apr-20,Capital Goods,56250,61147,4897
15-Apr-20,Chemicals & Petrochemicals,30178,32913,2735
15-Apr-20,Coal,7132,7407,275
15-Apr-20,Commercial Services & Supplies,5471,5770,299
15-Apr-20,Construction Materials,38797,41714,2917
15-Apr-20,Consumer Durables,45909,47189,1280
15-Apr-20,Diversified2,4594,5212,618
15-Apr-20,Diversified Consumer Services,1900,1917,17
15-Apr-20,Food & Drugs Retailing,0,0,0
15-Apr-20,"Food, Beverages & Tobacco",84126,92511,8385
15-Apr-20,Forest Materials,560,615,55
15-Apr-20,General Industrials,9441,9807,366
15-Apr-20,Hardware Technology & Equipment,29,37,8
15-Apr-20,Healthcare Equipment & Supplies,61,60,-1
15-Apr-20,Healthcare Services,16474,17925,1451
15-Apr-20,"Hotels, Restaurants & Tourism",9271,9013,-258
15-Apr-20,Household & Personal Products,105308,116587,11279
15-Apr-20,Insurance,57078,60088,3010
15-Apr-20,Media,12257,13442,1185
15-Apr-20,Metals & Mining,22566,25241,2675
15-Apr-20,Oil & Gas,206943,216076,9133
15-Apr-20,Pharmaceuticals & Biotechnology,89291,108937,19646
15-Apr-20,Real Estate Investment,0,0,0
15-Apr-20,Realty,19275,19557,282
15-Apr-20,Retailing,31849,32787,938
15-Apr-20,Software & Services,273198,269960,-3238
15-Apr-20,Telecom Services,65166,74853,9687
15-Apr-20,Telecommunications Equipment,79,92,13
15-Apr-20,"Textiles, Apparels & Accessories",27978,28250,272
15-Apr-20,Transportation,25338,26685,1347
15-Apr-20,Airlines,5634,5314,-320
15-Apr-20,Logistics,1058,1146,88
15-Apr-20,Marine Port & Services,9573,9998,425
15-Apr-20,Roads & Highways,827,1037,210
15-Apr-20,Shipping,811,773,-38
15-Apr-20,Surface Transportation,27,25,-2
15-Apr-20,Transport Related Services,5432,6316,884
30-Apr-20,Airport Services,1976,2075,99
30-Apr-20,Utilities3,62130,65851,3721
30-Apr-20,Sovereign,0,0,0
30-Apr-20,Others4,11238,11207,-31
30-Apr-20,Grand Total,2117566,2204823,87257
30-Apr-20,Automobiles & Auto Components,99970,107705,7735
30-Apr-20,Total Financial Services,702001,804814,102813
30-Apr-20,Banks,408631,465367,56736
30-Apr-20,Other Financial Services1,293370,339448,46078
30-Apr-20,Capital Goods,61147,64930,3783
30-Apr-20,Chemicals & Petrochemicals,32913,36390,3477
30-Apr-20,Coal,7407,7347,-60
30-Apr-20,Commercial Services & Supplies,5770,5505,-265
30-Apr-20,Construction Materials,41714,41484,-230
30-Apr-20,Consumer Durables,47189,48798,1609
30-Apr-20,Diversified2,5212,5552,340
30-Apr-20,Diversified Consumer Services,1917,1920,3
30-Apr-20,Food & Drugs Retailing,0,0,0
30-Apr-20,"Food, Beverages & Tobacco",92511,91587,-924
30-Apr-20,Forest Materials,615,659,44
30-Apr-20,General Industrials,9807,11062,1255
30-Apr-20,Hardware Technology & Equipment,37,40,3
30-Apr-20,Healthcare Equipment & Supplies,60,54,-6
30-Apr-20,Healthcare Services,17925,18877,952
30-Apr-20,"Hotels, Restaurants & Tourism",9013,9812,799
30-Apr-20,Household & Personal Products,116587,110506,-6081
30-Apr-20,Insurance,60088,65313,5225
30-Apr-20,Media,13442,15893,2451
30-Apr-20,Metals & Mining,25241,26959,1718
30-Apr-20,Oil & Gas,216076,267661,51585
30-Apr-20,Pharmaceuticals & Biotechnology,108937,112611,3674
30-Apr-20,Real Estate Investment,0,0,0
30-Apr-20,Realty,19557,20337,780
30-Apr-20,Retailing,32787,35185,2398
30-Apr-20,Software & Services,269960,301304,31344
30-Apr-20,Telecom Services,74853,75452,599
30-Apr-20,Telecommunications Equipment,92,91,-1
30-Apr-20,"Textiles, Apparels & Accessories",28250,28683,433
30-Apr-20,Transportation,26685,27125,440
30-Apr-20,Airlines,5314,5091,-223
30-Apr-20,Logistics,1146,1145,-1
15-Aug-22,Marine Port & Services,9998,10659,661
15-Aug-22,Roads & Highways,1037,1041,4
15-Aug-22,Shipping,773,912,139
15-Aug-22,Surface Transportation,25,24,-1
15-Aug-22,Transport Related Services,6316,6148,-168
15-Aug-22,Airport Services,2075,2104,29
15-Aug-22,Utilities3,65851,68215,2364
15-Aug-22,Sovereign,0,0,0
15-Aug-22,Others4,11207,11138,-69
15-Aug-22,Grand Total,2204823,2423008,218185
15-Aug-22,Automobile and Auto Components,246894,256873,9979
15-Aug-22,Capital Goods,104987,112090,7103
15-Aug-22,Chemicals,99210,105521,6311
15-Aug-22,Construction,59317,61511,2194
15-Aug-22,Construction Materials,71951,73835,1884
15-Aug-22,Consumer Durables,167725,174196,6471
15-Aug-22,Consumer Services,103088,112456,9368
15-Aug-22,Diversified,1609,1608,-1
15-Aug-22,Fast Moving Consumer Goods,303776,306271,2495
15-Aug-22,Financial Services,1442606,1499934,57328
15-Aug-22,Forest Materials,1330,1534,204
15-Aug-22,Healthcare,208520,210790,2270
15-Aug-22,Information Technology,523255,539161,15906
15-Aug-22,"Media, Entertainment & Publication",22028,22007,-21
15-Aug-22,Metals & Mining,134069,145083,11014
31-Aug-22,"Oil, Gas & Consumable Fuels",537275,563771,26496
31-Aug-22,Power,223753,240660,16907
31-Aug-22,Realty,57943,56602,-1341
31-Aug-22,Services,74405,76271,1866
31-Aug-22,Telecommunication,107869,110564,2695
31-Aug-22,Textiles,20812,21007,195
31-Aug-22,Utilities,362,375,13
31-Aug-22,Sovereign,0,0,0
31-Aug-22,Others,9674,9782,108
31-Aug-22,Grand Total,4522458,4701902,179444
31-Aug-22,Automobile and Auto Components,256873,265918,9045
31-Aug-22,Capital Goods,112090,117775,5685
31-Aug-22,Chemicals,105521,107663,2142
31-Aug-22,Construction,61511,64691,3180
31-Aug-22,Construction Materials,73835,75929,2094
31-Aug-22,Consumer Durables,174196,179276,5080
31-Aug-22,Consumer Services,112456,116387,3931
31-Aug-22,Diversified,1608,1658,50
31-Aug-22,Fast Moving Consumer Goods,306271,317335,11064
31-Aug-22,Financial Services,1499934,1519470,19536
31-Aug-22,Forest Materials,1534,1666,132
31-Aug-22,Healthcare,210790,219816,9026
31-Aug-22,Information Technology,539161,511536,-27625
31-Aug-22,"Media, Entertainment & Publication",22007,22254,247
31-Aug-22,Metals & Mining,145083,150326,5243
31-Aug-22,"Oil, Gas & Consumable Fuels",563771,572737,8966
31-Aug-22,Power,240660,263278,22618
31-Aug-22,Realty,56602,59419,2817
31-Aug-22,Services,76271,79154,2883
31-Aug-22,Telecommunication,110564,115523,4959
31-Aug-22,Textiles,21007,21706,699
31-Aug-22,Utilities,375,393,18
31-Aug-22,Sovereign,0,0,0
31-Aug-22,Others,9782,10187,405
31-Aug-22,Grand Total,4701902,4794095,92193
15-Aug-20,Automobiles & Auto Components,138290,144407,6117
15-Aug-20,Total Financial Services,825974,850076,24102
15-Aug-20,Banks,480327,492200,11873
15-Aug-20,Other Financial Services1,345647,357876,12229
15-Aug-20,Capital Goods,73477,79418,5941
15-Aug-20,Chemicals & Petrochemicals,39467,40612,1145
15-Aug-20,Coal,6053,6166,113
15-Aug-20,Commercial Services & Supplies,6654,7573,919
15-Aug-20,Construction Materials,48521,47747,-774
15-Aug-20,Consumer Durables,52118,54930,2812
15-Aug-20,Diversified2,5538,5942,404
15-Aug-20,Diversified Consumer Services,1989,2089,100
15-Aug-20,Food & Drugs Retailing,0,1,1
15-Aug-20,"Food, Beverages & Tobacco",98194,102021,3827
15-Aug-20,Forest Materials,1113,1147,34
15-Aug-20,General Industrials,13335,15204,1869
15-Aug-20,Hardware Technology & Equipment,43,44,1
15-Aug-20,Healthcare Equipment & Supplies,82,82,0
15-Aug-20,Healthcare Services,22521,22817,296
15-Aug-20,"Hotels, Restaurants & Tourism",10824,12096,1272
15-Aug-20,Household & Personal Products,131921,130629,-1292
15-Aug-20,Insurance,85088,81196,-3892
15-Aug-20,Media,14944,16722,1778
15-Aug-20,Metals & Mining,32721,37758,5037
15-Aug-20,Oil & Gas,372265,381051,8786
15-Aug-20,Pharmaceuticals & Biotechnology,139557,146016,6459
15-Aug-20,Real Estate Investment,0,0,0
15-Aug-20,Realty,21845,22714,869
15-Aug-20,Retailing,38007,40908,2901
15-Aug-20,Software & Services,378020,376658,-1362
15-Aug-20,Telecom Services,82474,80284,-2190
15-Aug-20,Telecommunications Equipment,91,105,14
15-Aug-20,"Textiles, Apparels & Accessories",29236,30444,1208
15-Aug-20,Transportation,30321,31344,1023
15-Aug-20,Airlines,5383,6232,849
15-Aug-20,Logistics,1187,1191,4
31-Aug-20,Marine Port & Services,11485,12750,1265
31-Aug-20,Roads & Highways,1332,1467,135
31-Aug-20,Shipping,853,940,87
31-Aug-20,Surface Transportation,23,27,4
31-Aug-20,Transport Related Services,7348,6096,-1252
31-Aug-20,Airport Services,2709,2640,-69
31-Aug-20,Utilities3,65913,66491,578
31-Aug-20,Sovereign,0,0,0
31-Aug-20,Others4,22097,21293,-804
31-Aug-20,Grand Total,2788693,2855983,67290
31-Aug-20,Automobiles & Auto Components,191015,191800,785
31-Aug-20,Total Financial Services,1396742,1471517,74775
31-Aug-20,Banks,802059,846317,44258
31-Aug-20,Other Financial Services1,594683,625201,30518
31-Aug-20,Capital Goods,150962,154214,3252
31-Aug-20,Chemicals & Petrochemicals,82703,82471,-232
31-Aug-20,Coal,5865,5890,25
31-Aug-20,Commercial Services & Supplies,37887,38267,380
31-Aug-20,Construction Materials,100142,96414,-3728
31-Aug-20,Consumer Durables,128050,128953,903
31-Aug-20,Diversified2,13507,14350,843
31-Aug-20,Diversified Consumer Services,3648,3462,-186
31-Aug-20,Food & Drugs Retailing,4,3,-1
31-Aug-20,"Food, Beverages & Tobacco",114964,118037,3073
31-Aug-20,Forest Materials,2076,2022,-54
31-Aug-20,General Industrials,37741,37163,-578
31-Aug-20,Hardware Technology & Equipment,35,45,10
31-Aug-20,Healthcare Equipment & Supplies,1451,1355,-96
