Date,Sector,AUC as on Date
31-Aug-20,Insurance,79269
31-Aug-20,Household & Personal Products,126500
31-Aug-20,"Hotels, Restaurants & Tourism",13573
31-Aug-20,Software & Services,374865
31-Aug-20,Healthcare Services,23212
31-Aug-20,Hardware Technology & Equipment,45
31-Aug-20,General Industrials,15998
31-Aug-20,Forest Materials,1144
31-Aug-20,"Food, Beverages & Tobacco",99335
31-Aug-20,Chemicals & Petrochemicals,42126
31-Aug-20,Coal,6341
31-Aug-20,Automobiles & Auto Components,147992
31-Aug-20,Construction Materials,46750
31-Aug-20,Consumer Durables,58584
31-Aug-20,Diversified2,5876
31-Aug-20,Healthcare Equipment & Supplies,81
31-Aug-20,Diversified Consumer Services,2276
31-Aug-20,Telecom Services,78933
31-Aug-20,Utilities3,68803
31-Aug-20,Banks,550692
31-Aug-20,Other Financial Services1,370292
31-Aug-20,Airlines,6714
31-Aug-20,Logistics,1402
31-Aug-20,Marine Port & Services,13141
31-Aug-20,Roads & Highways,1481
31-Aug-20,Shipping,911
31-Aug-20,Surface Transportation,27
31-Aug-20,Transport Related Services,6196
31-Aug-20,Airport Services,2966
31-Aug-20,Telecommunications Equipment,106
31-Aug-20,Food & Drugs Retailing,1
31-Aug-20,Others4,21466
31-Aug-20,Grand Total,2935288
31-Aug-20,Capital Goods,83731
31-Aug-20,Sovereign,0
15-Sep-20,Telecom Services,73368
15-Sep-20,Software & Services,408307
15-Sep-20,Retailing,43774
15-Sep-20,Realty,25407
15-Sep-20,Real Estate Investment,0
15-Sep-20,Pharmaceuticals & Biotechnology,147580
15-Sep-20,Oil & Gas,415787
15-Sep-20,Metals & Mining,39258
15-Sep-20,Telecommunications Equipment,107
15-Sep-20,Others4,23005
15-Sep-20,"Food, Beverages & Tobacco",97442
15-Sep-20,Forest Materials,1191
15-Sep-20,General Industrials,16355
15-Sep-20,Hardware Technology & Equipment,45
15-Sep-20,Healthcare Equipment & Supplies,103
15-Sep-20,Healthcare Services,24644
15-Sep-20,"Hotels, Restaurants & Tourism",15075
15-Sep-20,Diversified Consumer Services,2333
15-Sep-20,Household & Personal Products,128831
15-Sep-20,Media,23167
15-Sep-20,Roads & Highways,1494
15-Sep-20,Marine Port & Services,12996
15-Sep-20,Logistics,1449
15-Sep-20,Airlines,7628
15-Sep-20,Transportation,33616
15-Sep-20,"Textiles, Apparels & Accessories",31993
15-Sep-20,Insurance,82096
15-Sep-20,Diversified2,6275
15-Sep-20,Consumer Durables,63983
15-Sep-20,Construction Materials,47330
15-Sep-20,Sovereign,0
15-Sep-20,Utilities3,67723
15-Sep-20,Airport Services,3040
15-Sep-20,Transport Related Services,6047
15-Sep-20,Surface Transportation,31
15-Sep-20,Shipping,931
15-Sep-20,,"AUC as on September 15, 2020"
15-Sep-20,,
15-Sep-20,,
15-Sep-20,Automobiles & Auto Components,150818
15-Sep-20,Total Financial Services,887249
15-Sep-20,Banks,525667
15-Sep-20,Other Financial Services1,361583
15-Sep-20,Capital Goods,92834
15-Sep-20,Chemicals & Petrochemicals,44851
15-Sep-20,Coal,5791
15-Sep-20,Commercial Services & Supplies,9694
15-Sep-20,Grand Total,3010031
15-Sep-20,Food & Drugs Retailing,1
30-Sep-20,Insurance,78507
30-Sep-20,Other Financial Services1,350337
30-Sep-20,Banks,505840
30-Sep-20,Surface Transportation,29
30-Sep-20,Capital Goods,93427
30-Sep-20,Chemicals & Petrochemicals,43146
30-Sep-20,Coal,5193
30-Sep-20,Commercial Services & Supplies,9766
30-Sep-20,Construction Materials,47945
30-Sep-20,Consumer Durables,63972
30-Sep-20,Diversified2,6000
30-Sep-20,Diversified Consumer Services,2174
30-Sep-20,Food & Drugs Retailing,1
30-Sep-20,"Food, Beverages & Tobacco",92248
30-Sep-20,Forest Materials,1082
30-Sep-20,General Industrials,16629
30-Sep-20,Hardware Technology & Equipment,45
30-Sep-20,Total Financial Services,856176
30-Sep-20,Healthcare Equipment & Supplies,117
30-Sep-20,Automobiles & Auto Components,148495
30-Sep-20,,
30-Sep-20,Marine Port & Services,12623
30-Sep-20,Logistics,1441
30-Sep-20,Airlines,7200
30-Sep-20,Transportation,31905
30-Sep-20,"Textiles, Apparels & Accessories",32886
30-Sep-20,Telecommunications Equipment,81
30-Sep-20,Telecom Services,61740
30-Sep-20,Software & Services,416167
30-Sep-20,Retailing,43650
30-Sep-20,Realty,24263
30-Sep-20,Real Estate Investment,0
30-Sep-20,Pharmaceuticals & Biotechnology,146553
30-Sep-20,Oil & Gas,396632
30-Sep-20,Metals & Mining,36970
30-Sep-20,,"AUC as on September 30, 2020"
30-Sep-20,,
30-Sep-20,Healthcare Services,28035
30-Sep-20,"Hotels, Restaurants & Tourism",14861
30-Sep-20,Household & Personal Products,128272
30-Sep-20,Media,22111
30-Sep-20,Grand Total,2937489
30-Sep-20,Others4,25227
30-Sep-20,Sovereign,0
30-Sep-20,Utilities3,63212
30-Sep-20,Airport Services,2933
30-Sep-20,Roads & Highways,1346
30-Sep-20,Shipping,841
30-Sep-20,Transport Related Services,5491
15-Oct-20,Household & Personal Products,130247
15-Oct-20,Realty,23945
15-Oct-20,Real Estate Investment,0
15-Oct-20,Pharmaceuticals & Biotechnology,148668
15-Oct-20,Oil & Gas,390936
15-Oct-20,Consumer Durables,65706
15-Oct-20,Metals & Mining,34225
15-Oct-20,Construction Materials,50923
15-Oct-20,Commercial Services & Supplies,10054
15-Oct-20,Coal,4834
15-Oct-20,Chemicals & Petrochemicals,42875
15-Oct-20,Capital Goods,90813
15-Oct-20,Insurance,76903
15-Oct-20,Other Financial Services1,377262
15-Oct-20,Total Financial Services,924639
15-Oct-20,Automobiles & Auto Components,151765
15-Oct-20,,
15-Oct-20,Media,20065
15-Oct-20,,"AUC as on October 15, 2020"
15-Oct-20,Food & Drugs Retailing,0
15-Oct-20,Forest Materials,1070
15-Oct-20,General Industrials,16294
15-Oct-20,Hardware Technology & Equipment,42
15-Oct-20,Healthcare Equipment & Supplies,128
15-Oct-20,Healthcare Services,28752
15-Oct-20,"Hotels, Restaurants & Tourism",14571
15-Oct-20,Banks,547377
15-Oct-20,,
15-Oct-20,"Food, Beverages & Tobacco",89231
15-Oct-20,Retailing,41626
15-Oct-20,Grand Total,3027079
15-Oct-20,Others4,22999
15-Oct-20,Sovereign,0
15-Oct-20,Utilities3,61092
15-Oct-20,Airport Services,2942
15-Oct-20,Transport Related Services,5310
15-Oct-20,Surface Transportation,30
15-Oct-20,Shipping,794
15-Oct-20,Roads & Highways,1300
15-Oct-20,Marine Port & Services,12767
15-Oct-20,Logistics,1392
15-Oct-20,Airlines,7655
15-Oct-20,Diversified2,6248
15-Oct-20,Transportation,32190
15-Oct-20,Telecommunications Equipment,76
15-Oct-20,Telecom Services,59401
15-Oct-20,Software & Services,451822
15-Oct-20,"Textiles, Apparels & Accessories",32747
15-Oct-20,Diversified Consumer Services,2193
31-Oct-20,,"AUC as on October 31, 2020"
31-Oct-20,,
31-Oct-20,,
31-Oct-20,Automobiles & Auto Components,147186
31-Oct-20,Total Financial Services,955667
31-Oct-20,Banks,576448
31-Oct-20,Other Financial Services1,379219
31-Oct-20,Capital Goods,99021
31-Oct-20,Chemicals & Petrochemicals,42919
31-Oct-20,Coal,4812
31-Oct-20,Roads & Highways,1353
31-Oct-20,Marine Port & Services,13550
31-Oct-20,Hardware Technology & Equipment,43
31-Oct-20,Diversified2,6761
31-Oct-20,Diversified Consumer Services,2212
31-Oct-20,Food & Drugs Retailing,0
31-Oct-20,"Food, Beverages & Tobacco",90966
31-Oct-20,Forest Materials,1005
31-Oct-20,General Industrials,16678
31-Oct-20,Healthcare Equipment & Supplies,123
31-Oct-20,Healthcare Services,28861
31-Oct-20,Construction Materials,54147
31-Oct-20,"Hotels, Restaurants & Tourism",14112
31-Oct-20,Insurance,77008
31-Oct-20,Media,17601
31-Oct-20,Metals & Mining,35116
31-Oct-20,Oil & Gas,368464
31-Oct-20,Pharmaceuticals & Biotechnology,144815
31-Oct-20,Real Estate Investment,0
31-Oct-20,Realty,26182
31-Oct-20,Retailing,42904
31-Oct-20,Household & Personal Products,127780
31-Oct-20,Commercial Services & Supplies,10965
31-Oct-20,Consumer Durables,70009
31-Oct-20,Utilities3,65218
31-Oct-20,Grand Total,3046643
31-Oct-20,Others4,20584
31-Oct-20,Sovereign,0
31-Oct-20,Transportation,33665
31-Oct-20,Airport Services,2957
31-Oct-20,Transport Related Services,5809
31-Oct-20,Surface Transportation,28
31-Oct-20,Airlines,7720
31-Oct-20,Shipping,810
31-Oct-20,Telecom Services,63928
31-Oct-20,Software & Services,445706
31-Oct-20,Logistics,1438
31-Oct-20,Telecommunications Equipment,73
31-Oct-20,"Textiles, Apparels & Accessories",32113
15-Nov-20,Diversified Consumer Services,2333
15-Nov-20,Diversified2,7733
15-Nov-20,Consumer Durables,72369
15-Nov-20,Forest Materials,1008
15-Nov-20,Food & Drugs Retailing,0
15-Nov-20,Healthcare Equipment & Supplies,143
15-Nov-20,Hardware Technology & Equipment,43
15-Nov-20,General Industrials,18201
15-Nov-20,Construction Materials,58537
15-Nov-20,"Food, Beverages & Tobacco",97359
15-Nov-20,Commercial Services & Supplies,11777
15-Nov-20,Realty,27579
15-Nov-20,Chemicals & Petrochemicals,44217
15-Nov-20,Capital Goods,114187
15-Nov-20,Other Financial Services1,457156
15-Nov-20,Banks,694688
15-Nov-20,Healthcare Services,30634
15-Nov-20,Total Financial Services,1151844
15-Nov-20,Automobiles & Auto Components,158016
15-Nov-20,,
15-Nov-20,,
15-Nov-20,,"AUC as on November 15, 2020"
15-Nov-20,Coal,5329
15-Nov-20,"Hotels, Restaurants & Tourism",15966
15-Nov-20,Transportation,36927
15-Nov-20,Insurance,82719
15-Nov-20,Transport Related Services,6065
15-Nov-20,Airport Services,3072
15-Nov-20,Utilities3,71361
15-Nov-20,Sovereign,0
15-Nov-20,Others4,21088
15-Nov-20,Grand Total,3345954
15-Nov-20,Household & Personal Products,133262
15-Nov-20,Roads & Highways,1363
15-Nov-20,Marine Port & Services,13676
15-Nov-20,Logistics,1602
15-Nov-20,Airlines,10279
15-Nov-20,Shipping,841
15-Nov-20,"Textiles, Apparels & Accessories",34638
15-Nov-20,Telecommunications Equipment,68
15-Nov-20,Telecom Services,68956
15-Nov-20,Software & Services,456768
15-Nov-20,Retailing,47249
15-Nov-20,Media,17984
15-Nov-20,Metals & Mining,41229
15-Nov-20,Oil & Gas,366462
15-Nov-20,Surface Transportation,29
15-Nov-20,Real Estate Investment,0
15-Nov-20,Pharmaceuticals & Biotechnology,149968
30-Nov-20,Other Financial Services1,475934
30-Nov-20,Capital Goods,126250
30-Nov-20,Chemicals & Petrochemicals,45012
30-Nov-20,Diversified Consumer Services,2566
30-Nov-20,Diversified2,8129
30-Nov-20,Consumer Durables,74817
30-Nov-20,Construction Materials,60660
30-Nov-20,Commercial Services & Supplies,12438
30-Nov-20,Coal,5019
30-Nov-20,Banks,729689
30-Nov-20,Total Financial Services,1205623
30-Nov-20,Food & Drugs Retailing,0
30-Nov-20,,
30-Nov-20,,
30-Nov-20,,"AUC as on November 30, 2020"
30-Nov-20,Surface Transportation,31
30-Nov-20,Transport Related Services,5977
30-Nov-20,Airport Services,3407
30-Nov-20,Utilities3,77075
30-Nov-20,Sovereign,0
30-Nov-20,Others4,19782
30-Nov-20,Grand Total,3457463
30-Nov-20,Automobiles & Auto Components,169610
30-Nov-20,"Food, Beverages & Tobacco",103109
30-Nov-20,Shipping,904
30-Nov-20,General Industrials,19950
30-Nov-20,Roads & Highways,1449
30-Nov-20,Marine Port & Services,15645
30-Nov-20,Logistics,1611
30-Nov-20,Airlines,9911
30-Nov-20,Transportation,38935
30-Nov-20,"Textiles, Apparels & Accessories",36620
30-Nov-20,Telecommunications Equipment,62
30-Nov-20,Telecom Services,70913
30-Nov-20,Software & Services,454506
30-Nov-20,Retailing,49746
30-Nov-20,Realty,29159
30-Nov-20,Forest Materials,1057
30-Nov-20,Real Estate Investment,0
30-Nov-20,Pharmaceuticals & Biotechnology,157320
30-Nov-20,Metals & Mining,46604
30-Nov-20,Media,18037
30-Nov-20,Insurance,86508
30-Nov-20,Oil & Gas,356750
30-Nov-20,"Hotels, Restaurants & Tourism",16502
30-Nov-20,Healthcare Services,32706
30-Nov-20,Healthcare Equipment & Supplies,142
30-Nov-20,Hardware Technology & Equipment,40
30-Nov-20,Household & Personal Products,131816
15-Dec-20,Airlines,11101
15-Dec-20,Retailing,55005
15-Dec-20,Software & Services,475959
15-Dec-20,Telecom Services,72373
15-Dec-20,Telecommunications Equipment,80
15-Dec-20,"Textiles, Apparels & Accessories",39659
15-Dec-20,Transportation,43124
15-Dec-20,Logistics,1709
15-Dec-20,,"AUC as on December 15, 2020"
15-Dec-20,Roads & Highways,1496
15-Dec-20,Shipping,1033
15-Dec-20,Surface Transportation,32
15-Dec-20,Transport Related Services,5890
15-Dec-20,Realty,32457
15-Dec-20,Utilities3,83183
15-Dec-20,Sovereign,0
15-Dec-20,Others4,21479
15-Dec-20,Marine Port & Services,18148
15-Dec-20,Airport Services,3715
15-Dec-20,Real Estate Investment,0
15-Dec-20,Oil & Gas,368355
15-Dec-20,,
15-Dec-20,,
15-Dec-20,Automobiles & Auto Components,179062
15-Dec-20,Total Financial Services,1258708
15-Dec-20,Banks,757997
15-Dec-20,Other Financial Services1,500711
15-Dec-20,Capital Goods,131248
15-Dec-20,Chemicals & Petrochemicals,48202
15-Dec-20,Coal,5700
15-Dec-20,Commercial Services & Supplies,14033
15-Dec-20,Construction Materials,63269
15-Dec-20,Consumer Durables,84334
15-Dec-20,Pharmaceuticals & Biotechnology,166808
15-Dec-20,Diversified2,8451
15-Dec-20,Food & Drugs Retailing,0
15-Dec-20,"Food, Beverages & Tobacco",112100
15-Dec-20,Forest Materials,1169
15-Dec-20,General Industrials,20202
15-Dec-20,Hardware Technology & Equipment,44
15-Dec-20,Healthcare Equipment & Supplies,177
15-Dec-20,Healthcare Services,32991
15-Dec-20,"Hotels, Restaurants & Tourism",19722
15-Dec-20,Grand Total,3647293
15-Dec-20,Insurance,89584
15-Dec-20,Media,21056
15-Dec-20,Metals & Mining,54212
15-Dec-20,Diversified Consumer Services,2669
15-Dec-20,Household & Personal Products,141879
31-Dec-20,Marine Port & Services,18355
31-Dec-20,,
31-Dec-20,"Hotels, Restaurants & Tourism",21394
31-Dec-20,Healthcare Services,33952
31-Dec-20,Healthcare Equipment & Supplies,170
31-Dec-20,Hardware Technology & Equipment,43
31-Dec-20,General Industrials,22487
31-Dec-20,Forest Materials,1234
31-Dec-20,"Food, Beverages & Tobacco",112023
31-Dec-20,Food & Drugs Retailing,1
31-Dec-20,Diversified Consumer Services,2612
31-Dec-20,Household & Personal Products,145962
31-Dec-20,Diversified2,8982
31-Dec-20,Construction Materials,65068
31-Dec-20,Commercial Services & Supplies,14398
31-Dec-20,Coal,5446
31-Dec-20,Chemicals & Petrochemicals,49955
31-Dec-20,Capital Goods,135241
31-Dec-20,Other Financial Services1,539905
31-Dec-20,Banks,777131
31-Dec-20,Total Financial Services,1317036
31-Dec-20,Automobiles & Auto Components,180952
31-Dec-20,Consumer Durables,92619
31-Dec-20,Insurance,94315
31-Dec-20,Media,20956
31-Dec-20,Metals & Mining,56559
31-Dec-20,Grand Total,3779025
31-Dec-20,Others4,22465
31-Dec-20,Sovereign,0
31-Dec-20,Utilities3,82502
31-Dec-20,Airport Services,3462
31-Dec-20,Transport Related Services,5684
31-Dec-20,Surface Transportation,31
31-Dec-20,Shipping,972
31-Dec-20,Roads & Highways,1539
31-Dec-20,Logistics,1746
31-Dec-20,Airlines,11658
31-Dec-20,Transportation,43448
31-Dec-20,"Textiles, Apparels & Accessories",42828
31-Dec-20,Telecommunications Equipment,86
31-Dec-20,Telecom Services,76235
31-Dec-20,Software & Services,505607
31-Dec-20,Retailing,56567
31-Dec-20,Realty,35275
31-Dec-20,Real Estate Investment,0
31-Dec-20,Pharmaceuticals & Biotechnology,164256
31-Dec-20,Oil & Gas,368353
31-Dec-20,,
31-Dec-20,,"AUC as on December 31, 2020"
15-Jan-21,Utilities3,89070
15-Jan-21,Grand Total,3924626
15-Jan-21,Media,21238
15-Jan-21,Metals & Mining,61699
15-Jan-21,Oil & Gas,362631
15-Jan-21,Pharmaceuticals & Biotechnology,166625
15-Jan-21,Real Estate Investment,0
15-Jan-21,Realty,37690
15-Jan-21,Retailing,58436
15-Jan-21,Software & Services,555587
15-Jan-21,Telecom Services,90142
15-Jan-21,Insurance,97514
15-Jan-21,Others4,22442
15-Jan-21,Transportation,45494
15-Jan-21,Airlines,11053
15-Jan-21,Logistics,1733
15-Jan-21,Marine Port & Services,20196
15-Jan-21,Roads & Highways,1810
15-Jan-21,Shipping,1013
15-Jan-21,Surface Transportation,31
15-Jan-21,Transport Related Services,6100
15-Jan-21,Airport Services,3559
15-Jan-21,"Textiles, Apparels & Accessories",41718
15-Jan-21,Household & Personal Products,147513
15-Jan-21,"Hotels, Restaurants & Tourism",21283
15-Jan-21,Healthcare Services,36469
15-Jan-21,,"AUC as on January 15, 2021"
15-Jan-21,,
15-Jan-21,,
15-Jan-21,Automobiles & Auto Components,196284
15-Jan-21,Total Financial Services,1342029
15-Jan-21,Banks,787059
15-Jan-21,Other Financial Services1,554970
15-Jan-21,Capital Goods,144117
15-Jan-21,Chemicals & Petrochemicals,52630
15-Jan-21,Coal,6199
15-Jan-21,Commercial Services & Supplies,15596
15-Jan-21,Construction Materials,69233
15-Jan-21,Consumer Durables,90588
15-Jan-21,Diversified2,9406
15-Jan-21,Diversified Consumer Services,2607
15-Jan-21,Food & Drugs Retailing,1
15-Jan-21,"Food, Beverages & Tobacco",114748
15-Jan-21,Forest Materials,1332
15-Jan-21,General Industrials,23988
15-Jan-21,Hardware Technology & Equipment,40
15-Jan-21,Healthcare Equipment & Supplies,169
15-Jan-21,Sovereign,0
15-Jan-21,Telecommunications Equipment,105
31-Jan-21,Marine Port & Services,19657
31-Jan-21,,
31-Jan-21,Oil & Gas,346768
31-Jan-21,Pharmaceuticals & Biotechnology,154519
31-Jan-21,Real Estate Investment,0
31-Jan-21,Realty,34560
31-Jan-21,Software & Services,526311
31-Jan-21,Telecom Services,82813
31-Jan-21,Telecommunications Equipment,105
31-Jan-21,"Textiles, Apparels & Accessories",40219
31-Jan-21,Transportation,44183
31-Jan-21,Airlines,10508
31-Jan-21,Logistics,1962
31-Jan-21,Roads & Highways,1774
31-Jan-21,Shipping,962
31-Jan-21,Surface Transportation,30
31-Jan-21,Transport Related Services,6075
31-Jan-21,Airport Services,3214
31-Jan-21,Utilities3,83241
31-Jan-21,Sovereign,0
31-Jan-21,Others4,21049
31-Jan-21,Grand Total,3715720
31-Jan-21,,"AUC as on January 31, 2021"
31-Jan-21,Metals & Mining,55694
31-Jan-21,Media,20530
31-Jan-21,Retailing,53487
31-Jan-21,Household & Personal Products,142992
31-Jan-21,,
31-Jan-21,Automobiles & Auto Components,188502
31-Jan-21,Total Financial Services,1255342
31-Jan-21,Banks,742513
31-Jan-21,Other Financial Services1,512829
31-Jan-21,Insurance,91234
31-Jan-21,Chemicals & Petrochemicals,52141
31-Jan-21,Coal,5434
31-Jan-21,Commercial Services & Supplies,15123
31-Jan-21,Construction Materials,66611
31-Jan-21,Consumer Durables,86326
31-Jan-21,Capital Goods,145781
31-Jan-21,Diversified Consumer Services,2680
31-Jan-21,Food & Drugs Retailing,1
31-Jan-21,"Food, Beverages & Tobacco",108584
31-Jan-21,Forest Materials,1345
31-Jan-21,General Industrials,23759
31-Jan-21,"Hotels, Restaurants & Tourism",20459
31-Jan-21,Hardware Technology & Equipment,45
31-Jan-21,Healthcare Equipment & Supplies,184
31-Jan-21,Healthcare Services,37016
31-Jan-21,Diversified2,8681
15-Feb-21,Healthcare Equipment & Supplies,265
15-Feb-21,Retailing,65126
15-Feb-21,Realty,40508
15-Feb-21,Real Estate Investment,0
15-Feb-21,Pharmaceuticals & Biotechnology,161361
15-Feb-21,Oil & Gas,389713
15-Feb-21,"Hotels, Restaurants & Tourism",22599
15-Feb-21,Media,20879
15-Feb-21,Insurance,96263
15-Feb-21,Household & Personal Products,140928
15-Feb-21,Healthcare Services,42477
15-Feb-21,Software & Services,545108
15-Feb-21,Metals & Mining,64504
15-Feb-21,Telecom Services,88673
15-Feb-21,Grand Total,4178629
15-Feb-21,"Textiles, Apparels & Accessories",42128
15-Feb-21,Airlines,11105
15-Feb-21,Logistics,2039
15-Feb-21,Marine Port & Services,24516
15-Feb-21,Roads & Highways,2269
15-Feb-21,Shipping,894
15-Feb-21,Surface Transportation,31
15-Feb-21,Transport Related Services,7759
15-Feb-21,Airport Services,3470
15-Feb-21,Utilities3,96610
15-Feb-21,Sovereign,0
15-Feb-21,Others4,17625
15-Feb-21,Hardware Technology & Equipment,53
15-Feb-21,Telecommunications Equipment,102
15-Feb-21,General Industrials,26563
15-Feb-21,Transportation,52083
15-Feb-21,"Food, Beverages & Tobacco",112359
15-Feb-21,Forest Materials,1453
15-Feb-21,,"AUC as on February 15, 2021"
15-Feb-21,,
15-Feb-21,,
15-Feb-21,Total Financial Services,1512370
15-Feb-21,Banks,893074
15-Feb-21,Other Financial Services1,619295
15-Feb-21,Capital Goods,164858
15-Feb-21,Automobiles & Auto Components,208275
15-Feb-21,Coal,5613
15-Feb-21,Commercial Services & Supplies,21530
15-Feb-21,Construction Materials,80726
15-Feb-21,Consumer Durables,92035
15-Feb-21,Diversified2,9302
15-Feb-21,Diversified Consumer Services,2847
15-Feb-21,Chemicals & Petrochemicals,53693
15-Feb-21,Food & Drugs Retailing,1
28-Feb-21,,
28-Feb-21,,
28-Feb-21,Automobiles & Auto Components,191159
28-Feb-21,Capital Goods,163588
28-Feb-21,Banks,829312
28-Feb-21,Other Financial Services1,566477
28-Feb-21,Chemicals & Petrochemicals,55327
28-Feb-21,,"AUC as on February 28, 2021"
28-Feb-21,Total Financial Services,1395789
28-Feb-21,Transportation,54823
28-Feb-21,Airport Services,3563
28-Feb-21,Logistics,2109
28-Feb-21,Marine Port & Services,26521
28-Feb-21,Roads & Highways,2496
28-Feb-21,Shipping,1017
28-Feb-21,Surface Transportation,30
28-Feb-21,Transport Related Services,8159
28-Feb-21,Coal,6462
28-Feb-21,Utilities3,100713
28-Feb-21,Sovereign,0
28-Feb-21,Airlines,10928
28-Feb-21,Commercial Services & Supplies,23504
28-Feb-21,General Industrials,27389
28-Feb-21,Consumer Durables,88364
28-Feb-21,Telecom Services,87430
28-Feb-21,Software & Services,513009
28-Feb-21,Retailing,62299
28-Feb-21,Realty,39422
28-Feb-21,Real Estate Investment,0
28-Feb-21,Pharmaceuticals & Biotechnology,151148
28-Feb-21,Oil & Gas,396896
28-Feb-21,Metals & Mining,71094
28-Feb-21,Media,20478
28-Feb-21,Insurance,96264
28-Feb-21,Household & Personal Products,134906
28-Feb-21,"Hotels, Restaurants & Tourism",23440
28-Feb-21,Healthcare Services,41543
28-Feb-21,Healthcare Equipment & Supplies,766
28-Feb-21,Hardware Technology & Equipment,52
28-Feb-21,Others4,25405
28-Feb-21,Forest Materials,1533
28-Feb-21,"Food, Beverages & Tobacco",106053
28-Feb-21,Food & Drugs Retailing,1
28-Feb-21,Diversified Consumer Services,3040
28-Feb-21,Diversified2,9362
28-Feb-21,Construction Materials,77752
28-Feb-21,Grand Total,4009610
28-Feb-21,"Textiles, Apparels & Accessories",40491
28-Feb-21,Telecommunications Equipment,105
15-Mar-21,,
15-Mar-21,Real Estate Investment,0
15-Mar-21,Realty,39471
15-Mar-21,Retailing,63245
15-Mar-21,Software & Services,551499
15-Mar-21,Telecom Services,83381
15-Mar-21,Telecommunications Equipment,103
15-Mar-21,"Textiles, Apparels & Accessories",42515
15-Mar-21,Transportation,57137
15-Mar-21,Grand Total,4121072
15-Mar-21,Others4,16734
15-Mar-21,Sovereign,0
15-Mar-21,Utilities3,105792
15-Mar-21,Airport Services,3824
15-Mar-21,Transport Related Services,8200
15-Mar-21,Surface Transportation,31
15-Mar-21,Shipping,1068
15-Mar-21,Roads & Highways,2459
15-Mar-21,Marine Port & Services,27766
15-Mar-21,Logistics,2360
15-Mar-21,Airlines,11429
15-Mar-21,Pharmaceuticals & Biotechnology,151433
15-Mar-21,,
15-Mar-21,Oil & Gas,419998
15-Mar-21,Media,22247
15-Mar-21,,"AUC as on March 15, 2021"
15-Mar-21,Banks,842742
15-Mar-21,Other Financial Services1,569151
15-Mar-21,Capital Goods,165407
15-Mar-21,Chemicals & Petrochemicals,58585
15-Mar-21,Coal,6086
15-Mar-21,Construction Materials,83535
15-Mar-21,Consumer Durables,91653
15-Mar-21,Diversified2,9476
15-Mar-21,Diversified Consumer Services,3164
15-Mar-21,Food & Drugs Retailing,0
15-Mar-21,"Food, Beverages & Tobacco",106072
15-Mar-21,Forest Materials,1461
15-Mar-21,General Industrials,29337
15-Mar-21,Hardware Technology & Equipment,51
15-Mar-21,Automobiles & Auto Components,197783
15-Mar-21,Healthcare Equipment & Supplies,1058
15-Mar-21,Healthcare Services,42340
15-Mar-21,"Hotels, Restaurants & Tourism",23541
15-Mar-21,Household & Personal Products,138754
15-Mar-21,Insurance,98762
15-Mar-21,Metals & Mining,73708
15-Mar-21,Commercial Services & Supplies,24852
15-Mar-21,Total Financial Services,1411893
31-Mar-21,Coal,5269
31-Mar-21,Diversified2,9351
31-Mar-21,Consumer Durables,93769
31-Mar-21,Roads & Highways,2298
31-Mar-21,Shipping,1029
31-Mar-21,Surface Transportation,36
31-Mar-21,Transport Related Services,8797
31-Mar-21,Airport Services,3488
31-Mar-21,Utilities3,106322
31-Mar-21,Sovereign,0
31-Mar-21,Others4,23684
31-Mar-21,Food & Drugs Retailing,0
31-Mar-21,Grand Total,4059793
31-Mar-21,Commercial Services & Supplies,28209
31-Mar-21,Chemicals & Petrochemicals,62031
31-Mar-21,Capital Goods,160050
31-Mar-21,Other Financial Services1,557638
31-Mar-21,Banks,799410
31-Mar-21,Total Financial Services,1357048
31-Mar-21,Automobiles & Auto Components,188896
31-Mar-21,,
31-Mar-21,,
31-Mar-21,,"AUC as on March 31, 2021"
31-Mar-21,Construction Materials,88136
31-Mar-21,"Food, Beverages & Tobacco",111730
31-Mar-21,Diversified Consumer Services,3202
31-Mar-21,General Industrials,27069
31-Mar-21,Marine Port & Services,26575
31-Mar-21,Logistics,2299
31-Mar-21,Airlines,11754
31-Mar-21,Transportation,56275
31-Mar-21,"Textiles, Apparels & Accessories",44204
31-Mar-21,Telecommunications Equipment,103
31-Mar-21,Telecom Services,83312
31-Mar-21,Forest Materials,1359
31-Mar-21,Retailing,57029
31-Mar-21,Realty,41341
31-Mar-21,Real Estate Investment,0
31-Mar-21,Software & Services,554810
31-Mar-21,Oil & Gas,392757
31-Mar-21,Metals & Mining,74858
31-Mar-21,Media,20701
31-Mar-21,Insurance,99581
31-Mar-21,Household & Personal Products,149554
31-Mar-21,"Hotels, Restaurants & Tourism",22682
31-Mar-21,Healthcare Services,43132
31-Mar-21,Healthcare Equipment & Supplies,1054
31-Mar-21,Pharmaceuticals & Biotechnology,152231
31-Mar-21,Hardware Technology & Equipment,43
15-Apr-21,Transport Related Services,8497
15-Apr-21,Airport Services,3558
15-Apr-21,Utilities3,105683
15-Apr-21,Surface Transportation,38
15-Apr-21,Others4,22489
15-Apr-21,Grand Total,4036149
15-Apr-21,Sovereign,0
15-Apr-21,Shipping,997
15-Apr-21,Telecom Services,86894
15-Apr-21,Other Financial Services1,551249
15-Apr-21,Real Estate Investment,0
15-Apr-21,Capital Goods,158813
15-Apr-21,Chemicals & Petrochemicals,62598
15-Apr-21,Coal,5209
15-Apr-21,Commercial Services & Supplies,30068
15-Apr-21,Construction Materials,86407
15-Apr-21,Consumer Durables,92810
